ine5,codi6,municipi,comarca,poblacio,hab_total,hab_principal,hab_noprincipal,pct_noprincipal,hab_per_hab,index_envelliment,rtc_total,rtc_hut,rtc_per_1000hab,rtc_per_100hab_viv,kg_hab_any,kwh_hab,vidre_hab,restauracio_estab,restauracio_per_1000hab,serveis_estab,serveis_per_1000hab,poblacio_pernocta_est,gap_pernocta,gap_pernocta_pct,carrega_total_est,index_turisme,confianca,poblacio_real_est,gap_abs,gap_pct,poblacio_real_rel,pct_icaen_EFG,IETR,IETR_rank,IETR_stock,IETR_impact,tipologia,confianca_score,carrega_funcional_est,kg_hab_any_year,vidre_any,any_referencia,poblacio_nacionalitat_estrangera,poblacio_nascuda_estranger,poblacio_nascuda_catalunya,poblacio_nascuda_resta_espanya,pct_nacionalitat_estrangera,pct_nascuda_estranger,bretxa_naturalitzacio,pct_nacionalitat_estrangera_comarca,pct_nacionalitat_estrangera_catalunya,pct_nascuda_estranger_comarca,pct_nascuda_estranger_catalunya,serie_any_inicial,serie_any_final,delta_pct_estrangera_5y,delta_pct_estrangera_finestra,delta_estrangers_finestra,confianca_origen,vots_valids_A20241,pct_extrema_dreta_A20241,pct_indep_A20241,pct_esq_A20241,guanya_A20241,vots_valids_A20211,pct_extrema_dreta_A20211,pct_indep_A20211,pct_esq_A20211,guanya_A20211
08011,080116,Avià,Berguedà,2263,1107,824,283,25.56,0.489,168.4,30,20,13.26,2.71,376.16,1451.5,27.8,6,2.65,13,5.74,2684,421,18.6,2076,26.7,mitjana,2076,-187,-8.3,1883,,4.14,28,0.0,8.29,capital_serveis,79.3,2684,2024,2024,2025,136,161,2017,85,6.01,7.11,1.1,12.69,18.74,16.29,25.1,2021.0,2025.0,,1.41,35.0,alta,1090.0,13.12,83.85,38.35,CAT-JUNTS+,1091.0,1.1,87.63,52.15,JxCat
08016,080168,Bagà,Berguedà,2167,1696,909,787,46.4,0.783,295.7,46,37,21.23,2.71,444.73,1570.2,34.5,9,4.15,16,7.38,2780,613,28.3,2351,31.5,mitjana,2351,184,8.5,2132,,24.52,24,38.22,10.82,capital_serveis,77.3,2780,2024,2024,2025,105,160,1741,266,4.85,7.38,2.53,12.69,18.74,16.29,25.1,2021.0,2025.0,,1.07,24.0,alta,1140.0,8.51,62.02,52.28,CAT-JUNTS+,1101.0,2.72,72.48,56.68,JxCat
08022,080229,Berga,Berguedà,17539,9010,6831,2179,24.18,0.514,182.0,45,36,2.57,0.5,458.79,1198.5,27.6,28,1.6,53,3.02,17174,-365,-2.1,19626,26.6,mitjana,19626,2087,11.9,17802,,0.3,31,0.6,0.0,capital_serveis,80.9,19626,2024,2024,2025,3185,4092,12059,1388,18.16,23.33,5.17,12.69,18.74,16.29,25.1,2021.0,2025.0,,3.92,812.0,alta,6770.0,13.9,72.72,41.05,CAT-JUNTS+,6307.0,2.66,79.77,50.21,JxCat
08024,080240,Borredà,Berguedà,434,392,178,214,54.59,0.903,361.8,26,16,59.91,6.63,858.18,1745.1,49.8,4,9.22,5,11.52,619,185,42.6,908,42.4,alta,908,474,109.2,824,,44.11,13,53.86,34.35,indeterminat,79.2,908,2024,2024,2025,47,57,356,21,10.83,13.13,2.3,12.69,18.74,16.29,25.1,2021.0,2025.0,,-1.81,-11.0,alta,216.0,11.11,73.61,43.06,CAT-JUNTS+,226.0,2.21,81.42,55.31,JxCat
08045,080459,Capolat,Berguedà,93,60,34,26,43.33,0.645,106.3,13,5,139.78,21.67,906.48,1723.2,77.2,1,10.75,1,10.75,131,38,40.9,206,61.9,alta,206,113,121.5,187,,60.54,5,28.07,93.01,indeterminat,42.7,206,2024,2024,2025,2,3,89,1,2.15,3.23,1.08,12.69,18.74,16.29,25.1,,,,,,mitjana,48.0,12.5,89.58,39.58,CAT-JUNTS+,41.0,0.0,95.12,43.9,JxCat
08049,080497,Casserres,Berguedà,1665,996,646,350,35.14,0.598,202.6,30,6,18.02,3.01,397.81,1635.9,38.7,5,3.0,9,5.41,2225,560,33.6,1615,34.5,mitjana,1615,-50,-3.0,1465,,13.23,26,15.8,10.66,indeterminat,80.3,2225,2024,2024,2025,120,140,1453,72,7.21,8.41,1.2,12.69,18.74,16.29,25.1,2021.0,2025.0,,2.63,45.0,alta,736.0,15.35,80.84,36.28,CAT-JUNTS+,756.0,1.85,86.64,49.6,JxCat
08050,080500,Castellar del Riu,Berguedà,151,115,63,52,45.22,0.762,117.4,17,11,112.58,14.78,1028.05,1523.3,78.4,1,6.62,1,6.62,188,37,24.5,379,62.7,baixa,379,228,151.0,343,,55.14,8,35.8,74.48,indeterminat,44.2,379,2024,2024,2025,2,5,139,7,1.32,3.31,1.99,12.69,18.74,16.29,25.1,2024.0,2024.0,,0.0,0.0,mitjana,83.0,15.66,90.36,24.1,CAT-JUNTS+,96.0,1.04,94.79,33.33,JxCat
08052,080522,Castellar de n'Hug,Berguedà,166,276,71,205,74.28,1.663,466.7,30,20,180.72,10.87,980.42,1607.6,107.7,3,18.07,4,24.1,218,52,31.3,397,83.5,alta,397,231,139.2,360,,89.44,1,100.0,78.87,excursio,32.8,397,2024,2024,2025,10,13,144,9,6.02,7.83,1.81,12.69,18.74,16.29,25.1,2021.0,2025.0,,2.38,4.0,mitjana,102.0,27.45,84.31,26.47,CAT-JUNTS+,96.0,2.08,86.46,32.29,JxCat
08057,080575,Castell de l'Areny,Berguedà,68,66,31,35,53.03,0.971,450.0,6,3,88.24,9.09,898.72,1648.8,60.1,0,0.0,1,14.71,92,24,35.3,149,49.7,baixa,149,81,119.1,135,,52.75,9,55.08,50.41,indeterminat,36.4,149,2024,2024,2025,1,2,64,2,1.47,2.94,1.47,12.69,18.74,16.29,25.1,,,,,,mitjana,47.0,12.77,76.6,40.43,CAT-JUNTS+,43.0,0.0,86.05,46.51,JxCat
08078,080787,"Espunyola, l'",Berguedà,260,128,89,39,30.47,0.492,176.5,17,3,65.38,13.28,836.21,1839.6,39.2,3,11.54,2,7.69,391,131,50.4,530,34.8,alta,530,270,103.8,481,,30.38,20,5.56,55.19,indeterminat,58.5,530,2024,2024,2025,8,9,248,3,3.08,3.46,0.38,12.69,18.74,16.29,25.1,2024.0,2025.0,,-0.72,-2.0,mitjana,136.0,22.06,87.5,26.47,CAT-JUNTS+,132.0,0.0,93.94,40.15,JxCat
