comarca,vegueria,vegueria_id
Baix Llobregat,Metropolità,metropolita
Barcelonès,Metropolità,metropolita
Maresme,Metropolità,metropolita
Vallès Occidental,Metropolità,metropolita
Vallès Oriental,Metropolità,metropolita
Alt Empordà,Comarques Gironines,gironines
Baix Empordà,Comarques Gironines,gironines
Garrotxa,Comarques Gironines,gironines
Gironès,Comarques Gironines,gironines
Pla de l'Estany,Comarques Gironines,gironines
Ripollès,Comarques Gironines,gironines
Selva,Comarques Gironines,gironines
Alt Camp,Camp de Tarragona,camp-tarragona
Baix Camp,Camp de Tarragona,camp-tarragona
Conca de Barberà,Camp de Tarragona,camp-tarragona
Priorat,Camp de Tarragona,camp-tarragona
Tarragonès,Camp de Tarragona,camp-tarragona
Baix Ebre,Terres de l'Ebre,terres-ebre
Montsià,Terres de l'Ebre,terres-ebre
Ribera d'Ebre,Terres de l'Ebre,terres-ebre
Terra Alta,Terres de l'Ebre,terres-ebre
Garrigues,Ponent,ponent
Noguera,Ponent,ponent
Pla d'Urgell,Ponent,ponent
Segarra,Ponent,ponent
Segrià,Ponent,ponent
Urgell,Ponent,ponent
Bages,Comarques Centrals,centrals
Berguedà,Comarques Centrals,centrals
Lluçanès,Comarques Centrals,centrals
Moianès,Comarques Centrals,centrals
Osona,Comarques Centrals,centrals
Solsonès,Comarques Centrals,centrals
Alt Urgell,Alt Pirineu i Aran,pirineu-aran
Alta Ribagorça,Alt Pirineu i Aran,pirineu-aran
Cerdanya,Alt Pirineu i Aran,pirineu-aran
Pallars Jussà,Alt Pirineu i Aran,pirineu-aran
Pallars Sobirà,Alt Pirineu i Aran,pirineu-aran
Val d'Aran,Alt Pirineu i Aran,pirineu-aran
Alt Penedès,Penedès,penedes
Anoia,Penedès,penedes
Baix Penedès,Penedès,penedes
Garraf,Penedès,penedes
