ine5,nom,densitat_hab_km2,our_gap_pct,etca_gap_pct,our_lo_pct,our_hi_pct,signe_oposat,classe
08001,Abrera,653.0,-8.9,-1.0,-22.4,10.8,0,coincident
08003,Alella,1062.7,-0.5,-8.9,-15.2,21.0,0,coincident
08005,"Ametlla del Vallès, l'",671.8,4.7,-8.2,-10.8,27.4,1,soroll
08006,Arenys de Mar,2560.7,-2.1,-0.5,-24.1,22.6,0,coincident
08007,Arenys de Munt,436.4,-0.7,-12.1,-15.4,20.8,0,coincident
08009,Argentona,509.1,-6.3,-6.3,-20.2,14.0,0,coincident
08010,Artés,339.8,-4.9,-5.4,-19.0,15.7,0,coincident
08011,Avià,82.3,-5.2,-11.2,-19.2,15.4,0,coincident
08012,Avinyó,36.3,-19.3,1.7,-31.2,-1.8,1,soroll
08013,Avinyonet del Penedès,60.2,-7.9,-4.6,-21.5,12.1,0,coincident
08014,Aiguafreda,324.6,-6.4,-8.8,-20.2,14.0,0,coincident
08015,Badalona,10808.3,-14.8,-7.8,-12.0,1.9,0,coincident
08016,Bagà,50.2,-3.0,5.7,-17.4,18.0,1,soroll
08017,Balenyà,232.7,-15.9,-9.7,-28.3,2.4,0,coincident
08018,Balsareny,90.7,-16.0,-8.8,-28.4,2.2,0,coincident
08019,Barcelona,16698.0,-16.8,5.8,-14.1,-0.5,1,senyal
08020,Begues,148.2,-14.0,-13.7,-21.0,-4.5,0,coincident
08022,Berga,761.2,-3.1,-0.8,-17.4,18.0,0,coincident
08023,Bigues i Riells,350.6,-3.0,-10.6,-17.3,18.1,0,coincident
08025,"Bruc, el",48.4,-12.8,-11.1,-25.7,6.1,0,coincident
08027,"Cabanyes, les",866.6,-10.0,-10.3,-23.2,9.6,0,coincident
08028,Cabrera d'Anoia,100.5,-17.5,-12.9,-29.7,0.4,0,coincident
08029,Cabrera de Mar,565.2,2.0,9.4,-20.9,27.8,0,coincident
08030,Cabrils,1115.1,3.0,-10.7,-12.2,25.3,1,soroll
08031,Calaf,385.8,-2.6,-3.3,-17.0,18.5,0,coincident
08032,Caldes d'Estrac,3691.8,16.4,6.4,-9.7,45.9,0,coincident
08033,Caldes de Montbui,488.9,-11.7,-5.8,-24.7,7.5,0,coincident
08034,Calders,33.7,-11.8,-9.0,-24.9,7.4,0,coincident
08035,Calella,2527.9,12.0,31.9,-13.2,40.4,0,coincident
08037,Calldetenes,469.5,-7.0,-6.4,-20.7,13.2,0,coincident
08038,Callús,173.6,4.6,-11.8,-10.9,27.2,1,soroll
08040,Canet de Mar,2734.5,-0.4,-2.4,-22.7,24.9,0,coincident
08041,Canovelles,2544.7,-12.7,-9.9,-16.2,7.4,0,coincident
08042,Cànoves i Samalús,113.7,-9.5,-14.4,-22.8,10.2,0,coincident
08043,Canyelles,383.4,7.0,-9.6,-8.8,30.3,1,soroll
08044,Capellades,1926.6,-7.1,-4.9,-10.8,14.4,0,coincident
08046,Cardedeu,1568.0,-6.3,-9.9,-10.1,15.3,0,coincident
08047,Cardona,68.4,-2.7,0.7,-17.1,18.5,1,soroll
08049,Casserres,57.0,-3.0,-6.2,-17.3,18.1,0,coincident
08051,Castellar del Vallès,561.0,-13.7,-9.5,-26.4,5.1,0,coincident
08053,Castellbell i el Vilar,145.3,-5.9,-12.0,-19.8,14.5,0,coincident
08054,Castellbisbal,421.1,-16.1,2.3,-23.0,-6.9,1,soroll
08056,Castelldefels,5392.4,-8.2,-4.8,-5.2,9.8,0,coincident
08058,Castellet i la Gornal,57.4,3.8,-10.5,-11.6,26.3,1,soroll
08061,Castellgalí,136.6,1.9,-6.3,-13.2,24.0,1,soroll
08062,Castellnou de Bages,48.9,0.4,-10.7,-14.4,22.2,1,soroll
08064,Castellterçol,86.7,-5.7,-9.1,-19.7,14.7,0,coincident
08065,Castellví de la Marca,60.0,-7.1,-12.4,-20.8,13.0,0,coincident
08066,Castellví de Rosanes,127.9,-9.7,-1.0,-23.0,10.0,0,coincident
08067,Centelles,506.6,-7.6,-3.7,-21.2,12.5,0,coincident
08068,Cervelló,401.2,-4.1,-10.7,-11.9,6.4,0,coincident
08069,Collbató,267.9,-4.2,-8.4,-18.4,16.6,0,coincident
08072,Corbera de Llobregat,869.8,0.1,-12.7,-8.1,11.1,1,soroll
08073,Cornellà de Llobregat,13159.4,-17.9,-3.0,-21.2,1.1,0,coincident
08074,Cubelles,1286.2,16.3,3.9,-9.8,45.8,0,coincident
08075,Dosrius,151.5,-3.9,-6.5,-18.1,16.9,0,coincident
08076,Esparreguera,823.6,-11.6,-9.2,-24.7,7.6,0,coincident
08077,Esplugues de Llobregat,10550.4,-19.1,-5.3,-22.3,-0.4,0,coincident
08082,Fogars de la Selva,52.2,22.6,10.3,4.5,49.2,0,coincident
08083,Folgueroles,206.6,-19.9,-11.3,-31.7,-2.5,0,coincident
08084,Fonollosa,30.3,16.4,-10.9,-0.9,41.6,1,soroll
08085,Font-rubí,38.7,-1.0,-8.9,-15.7,20.5,0,coincident
08086,"Franqueses del Vallès, les",704.1,-13.5,-4.3,-26.3,5.3,0,coincident
08088,"Garriga, la",907.6,-16.8,-6.2,-29.1,1.3,0,coincident
08089,Gavà,1577.4,-14.0,-3.4,-11.1,2.9,0,coincident
08091,Gelida,306.4,2.4,-15.0,-12.7,24.7,1,soroll
08092,Gironella,737.4,2.3,-6.2,-12.8,24.5,1,soroll
08094,"Granada, la",354.5,-7.4,-9.6,-21.1,12.6,0,coincident
08096,Granollers,4308.6,-12.8,1.8,-16.3,7.4,1,soroll
08097,Gualba,75.6,-12.1,0.4,-25.1,7.0,1,soroll
08098,Sant Salvador de Guardiola,93.7,3.0,-7.8,-12.2,25.3,1,soroll
08099,Guardiola de Berguedà,15.3,-10.4,5.7,-23.7,9.0,1,soroll
08100,Gurb,52.6,6.5,25.9,-9.3,29.6,0,coincident
08101,"Hospitalet de Llobregat, l'",22553.6,-17.4,-7.1,-20.7,1.7,0,coincident
08102,Igualada,5169.0,0.3,-0.5,-3.7,23.5,1,soroll
08105,"Llagosta, la",4302.3,-13.5,-10.5,-17.0,6.4,0,coincident
08106,Llinars del Vallès,387.4,-4.4,0.2,-18.6,16.3,1,soroll
08107,Lliçà d'Amunt,725.3,-1.1,-10.0,-15.7,20.3,0,coincident
08108,Lliçà de Vall,639.8,5.0,5.5,-10.5,27.8,0,coincident
08110,Malgrat de Mar,2205.0,0.2,23.9,-22.3,25.7,0,coincident
