ine5;nom;litoral;font
17138;Portbou;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17054;Colera;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17092;Llançà;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17140;El Port de la Selva;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17032;Cadaqués;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17152;Roses;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17047;Castelló d'Empúries;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17178;Sant Pere Pescador;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17062;L'Escala;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17199;Torroella de Montgrí;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17124;Pals;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17013;Begur;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17117;Palafrugell;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17110;Mont-ras;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17118;Palamós;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17034;Calonge i Sant Antoni;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17048;Castell-Platja d'Aro;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17160;Sant Feliu de Guíxols;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17181;Santa Cristina d'Aro;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17202;Tossa de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17095;Lloret de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
17023;Blanes;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08110;Malgrat de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08261;Santa Susanna;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08163;Pineda de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08035;Calella;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08235;Sant Pol de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08040;Canet de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08006;Arenys de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08032;Caldes d'Estrac;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08264;Sant Vicenç de Montalt;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08197;Sant Andreu de Llavaneres;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08121;Mataró;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08029;Cabrera de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08219;Vilassar de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08172;Premià de Mar;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08118;El Masnou;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08126;Montgat;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08015;Badalona;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08194;Sant Adrià de Besòs;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08019;Barcelona;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08169;El Prat de Llobregat;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08301;Viladecans;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08089;Gavà;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08056;Castelldefels;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08270;Sitges;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08231;Sant Pere de Ribes;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08307;Vilanova i la Geltrú;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
08074;Cubelles;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
43051;Cunit;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
43037;Calafell;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
43163;El Vendrell;costaner;territori_gencat_llista_municipis_litorals_2023_derivat_70_ppol
