codi6;ine5;nom
250019;25001;Abella de la Conca
080018;08001;Abrera
250030;25003;Agramunt
080023;08002;Aguilar de Segarra
170010;17001;Agullana
080142;08014;Aiguafreda
430017;43001;Aiguamúrcia
170025;17002;Aiguaviva
250387;25038;Aitona
170031;17003;Albanyà
250077;25007;Albatàrrec
250083;25008;Albesa
430022;43002;Albinyana
170046;17004;Albons
430043;43004;Alcanar
250100;25010;Alcanó
250117;25011;Alcarràs
250122;25012;Alcoletge
430056;43005;Alcover
430069;43006;Aldover
080039;08003;Alella
430081;43008;Alfara de Carles
250138;25013;Alfarràs
430094;43009;Alforja
250143;25014;Alfés
250156;25015;Algerri
250169;25016;Alguaire
250175;25017;Alins
430108;43010;Alió
250194;25019;Almacelles
250208;25020;Almatret
250215;25021;Almenar
430115;43011;Almoster
170062;17006;Alp
080044;08004;Alpens
250236;25023;Alpicat
250241;25024;Alt Àneu
430120;43012;Altafulla
250058;25005;Alàs i Cerc
250220;25022;Alòs de Balaguer
170078;17007;Amer
430141;43014;Amposta
250273;25027;Anglesola
170084;17008;Anglès
250292;25029;Arbeca
430154;43015;Arbolí
170097;17009;Arbúcies
080060;08006;Arenys de Mar
080076;08007;Arenys de Munt
170101;17010;Argelaguer
080095;08009;Argentona
080082;08008;Argençola
430189;43018;Arnes
250313;25031;Arres
250328;25032;Arsèguel
250334;25033;Artesa de Lleida
250349;25034;Artesa de Segre
080109;08010;Artés
430192;43019;Ascó
250365;25036;Aspa
170123;17012;Avinyonet de Puigventós
080137;08013;Avinyonet del Penedès
080121;08012;Avinyó
080116;08011;Avià
080155;08015;Badalona
089045;08904;Badia del Vallès
080168;08016;Bagà
250390;25039;Baix Pallars
250404;25040;Balaguer
080174;08017;Balenyà
080180;08018;Balsareny
430206;43020;Banyeres del Penedès
170157;17015;Banyoles
250411;25041;Barbens
430213;43021;Barberà de la Conca
082520;08252;Barberà del Vallès
080193;08019;Barcelona
250447;25044;Bassella
430228;43022;Batea
250450;25045;Bausen
080207;08020;Begues
170139;17013;Begur
250463;25046;Belianes
250485;25048;Bell-lloc d'Urgell
251706;25170;Bellaguarda
170182;17018;Bellcaire d'Empordà
250479;25047;Bellcaire d'Urgell
250498;25049;Bellmunt d'Urgell
430234;43023;Bellmunt del Priorat
080214;08021;Bellprat
250501;25050;Bellpuig
430249;43024;Bellvei
250518;25051;Bellver de Cerdanya
250523;25052;Bellvís
250539;25053;Benavent de Segrià
430252;43025;Benifallet
430265;43026;Benissanet
080229;08022;Berga
170195;17019;Besalú
170209;17020;Bescanó
170216;17021;Beuda
080235;08023;Bigues i Riells del Fai
250557;25055;Biosca
172348;17234;Biure
430290;43029;Blancafort
170237;17023;Blanes
170293;17029;Boadella i les Escaules
170242;17024;Bolvir
430304;43030;Bonastre
170255;17025;Bordils
170268;17026;Borrassà
080240;08024;Borredà
250595;25059;Bossòst
430326;43032;Bot
430332;43033;Botarell
250560;25056;Bovera
170274;17027;Breda
170280;17028;Brunyola i Sant Martí Sapresa
430347;43034;Bràfim
170160;17016;Bàscara
430350;43035;Cabacés
250609;25060;Cabanabona
170314;17031;Cabanelles
170307;17030;Cabanes
430363;43036;Cabra del Camp
080288;08028;Cabrera d'Anoia
080291;08029;Cabrera de Mar
080305;08030;Cabrils
250616;25061;Cabó
170329;17032;Cadaqués
080312;08031;Calaf
430379;43037;Calafell
080348;08034;Calders
080327;08032;Caldes d'Estrac
170335;17033;Caldes de Malavella
080333;08033;Caldes de Montbui
080351;08035;Calella
080370;08037;Calldetenes
080386;08038;Callús
080364;08036;Calonge de Segarra
170340;17034;Calonge i Sant Antoni
250621;25062;Camarasa
439039;43903;Camarles
430385;43038;Cambrils
170366;17036;Campdevànol
170372;17037;Campelles
080399;08039;Campins
170388;17038;Campllong
170391;17039;Camprodon
170353;17035;Camós
250637;25063;Canejan
170405;17040;Canet d'Adri
080403;08040;Canet de Mar
080410;08041;Canovelles
170412;17041;Cantallops
080431;08043;Canyelles
430398;43039;Capafonts
080446;08044;Capellades
170427;17042;Capmany
080459;08045;Capolat
430402;43040;Capçanes
080462;08046;Cardedeu
080478;08047;Cardona
080484;08048;Carme
430419;43041;Caseres
080497;08049;Casserres
170448;17044;Cassà de la Selva
170486;17048;Castell d'Aro, Platja d'Aro i s'Agaró
080575;08057;Castell de l'Areny
259046;25904;Castell de Mur
250642;25064;Castellar de la Ribera
080522;08052;Castellar de n'Hug
080500;08050;Castellar del Riu
080517;08051;Castellar del Vallès
080538;08053;Castellbell i el Vilar
080543;08054;Castellbisbal
080556;08055;Castellcir
250674;25067;Castelldans
080569;08056;Castelldefels
080581;08058;Castellet i la Gornal
170464;17046;Castellfollit de la Roca
080608;08060;Castellfollit de Riubregós
080594;08059;Castellfollit del Boix
080615;08061;Castellgalí
080620;08062;Castellnou de Bages
250680;25068;Castellnou de Seana
080636;08063;Castellolí
250707;25070;Castellserà
080641;08064;Castellterçol
430424;43042;Castellvell del Camp
080654;08065;Castellví de la Marca
080667;08066;Castellví de Rosanes
170470;17047;Castelló d'Empúries
