ine5,nom,costaner,dist_m
08019,Barcelona,1,0
08056,Castelldefels,1,0
08074,Cubelles,1,0
08089,Gavà,1,0
08121,Mataró,1,0
08169,el Prat de Llobregat,1,0
08231,Sant Pere de Ribes,1,0
08270,Sitges,1,0
08301,Viladecans,1,0
08307,Vilanova i la Geltrú,1,0
17013,Begur,1,0
17032,Cadaqués,1,0
17034,Calonge i Sant Antoni,1,0
17048,"Castell d'Aro, Platja d'Aro i s'Agaró",1,0
17062,l'Escala,1,0
17095,Lloret de Mar,1,0
17110,Mont-ras,1,0
17117,Palafrugell,1,0
17118,Palamós,1,0
17140,el Port de la Selva,1,0
17152,Roses,1,0
17160,Sant Feliu de Guíxols,1,0
17199,Torroella de Montgrí,1,0
17202,Tossa de Mar,1,0
43004,Alcanar,1,0
43012,Altafulla,1,0
43013,l'Ametlla de Mar,1,0
43014,Amposta,1,0
43037,Calafell,1,0
43038,Cambrils,1,0
43050,Creixell,1,0
43051,Cunit,1,0
43092,Mont-roig del Camp,1,0
43104,el Perelló,1,0
43131,Roda de Berà,1,0
43136,la Ràpita,1,0
43148,Tarragona,1,0
43153,Torredembarra,1,0
43162,Vandellòs i l'Hospitalet de l'Infant,1,0
43163,el Vendrell,1,0
43901,Deltebre,1,0
43902,Sant Jaume d'Enveja,1,0
43905,Salou,1,0
43906,l'Ampolla,1,0
08029,Cabrera de Mar,1,71
08219,Vilassar de Mar,1,71
17047,Castelló d'Empúries,1,95
08172,Premià de Mar,1,148
08197,Sant Andreu de Llavaneres,1,218
17178,Sant Pere Pescador,1,234
43178,Vinyols i els Arcs,1,237
17023,Blanes,1,248
08194,Sant Adrià de Besòs,1,251
08261,Santa Susanna,1,276
08110,Malgrat de Mar,1,291
08163,Pineda de Mar,1,301
08006,Arenys de Mar,1,331
08035,Calella,1,338
08264,Sant Vicenç de Montalt,1,352
08118,el Masnou,1,386
08235,Sant Pol de Mar,1,420
43171,Vila-seca,1,422
17124,Pals,1,438
17054,Colera,1,441
17092,Llançà,1,441
08040,Canet de Mar,1,455
17011,l'Armentera,1,470
17181,Santa Cristina d'Aro,1,473
08032,Caldes d'Estrac,1,518
08015,Badalona,1,541
17138,Portbou,1,606
08230,Premià de Dalt,1,609
43111,la Pobla de Montornès,1,641
08281,Teià,1,645
43907,la Canonja,1,674
08126,Montgat,1,688
43126,la Riera de Gaià,1,932
08200,Sant Boi de Llobregat,1,978
08003,Alella,1,980
43903,Camarles,1,1170
17188,la Selva de Mar,1,1376
08214,Vilassar de Dalt,1,1440
08009,Argentona,1,1475
08030,Cabrils,0,1514
08203,Sant Cebrià de Vallalta,0,1648
08282,Tiana,0,1665
08155,Palafolls,0,1911
08007,Arenys de Munt,0,1954
17210,Ventalló,0,1992
17120,Palau-saverdera,0,2226
17018,Bellcaire d'Empordà,0,2242
17209,Vall-llobrega,0,2260
17217,Viladamat,0,2264
43156,Ulldecona,0,2392
43024,Bellvei,0,2511
17144,Regencós,0,2610
08245,Santa Coloma de Gramenet,0,2642
17004,Albons,0,2700
43043,el Catllar,0,2713
08284,Tordera,0,2741
17089,Llagostera,0,2839
43123,Reus,0,2893
08193,Sant Iscle de Vallalta,0,2951
43150,Tivissa,0,2958
43097,la Nou de Gaià,0,2996
43047,Constantí,0,3121
08101,l'Hospitalet de Llobregat,0,3190
08020,Begues,0,3204
43129,Riudoms,0,3227
08148,Olivella,0,3235
17070,Fontanilles,0,3264
08058,Castellet i la Gornal,0,3269
43118,Pratdip,0,3846
17225,Vilamacolum,0,3908
43002,Albinyana,0,4031
43030,Bonastre,0,4031
17223,Vilajuïga,0,4223
43164,Vespella de Gaià,0,4268
17151,Riumors,0,4271
43140,Santa Oliva,0,4274
08075,Dosrius,0,4288
43062,Freginals,0,4364
08296,Vallromanes,0,4384
17198,Torroella de Fluvià,0,4505
17128,Pau,0,4556
08209,Sant Fost de Campsentelles,0,4556
17081,Gualta,0,4693
17902,Forallac,0,4704
17213,Vidreres,0,4899
43100,els Pallaresos,0,4955
08256,Santa Maria de Martorelles,0,5041
08153,Òrrius,0,5086
08125,Montcada i Reixac,0,5112
17074,Fortià,0,5160
08043,Canyelles,0,5294
08073,Cornellà de Llobregat,0,5311
