ine5,municipi,tipus_territorial,resident,poblacio,etca,kwh_dom,rtc_places,rtc_places_per_resident,gas_kwh_dom,gas_fraction,altitud_m,densitat_hab_km2
08001,Abrera,interior_rural,12981,12981,12852,16644956,45,0.003,12198080,0.423,,653.0
08002,Aguilar de Segarra,interior_rural,,291,,495359,40,,0,0.0,,6.8
08003,Alella,interior_rural,10200,10200,9291,18370738,506,0.05,21477753,0.539,,1062.7
08004,Alpens,interior_rural,,270,,499865,97,,0,0.0,,19.5
08005,"Ametlla del Vallès, l'",interior_rural,9448,9448,8675,16796751,143,0.015,8995337,0.349,,671.8
08006,Arenys de Mar,litoral_vacacional,16513,16513,16436,20973346,1854,0.112,20376818,0.493,,2560.7
08007,Arenys de Munt,interior_rural,9444,9444,8297,13322235,218,0.023,11019119,0.453,,436.4
08008,Argençola,interior_rural,,241,,387872,47,,0,0.0,,5.1
08009,Argentona,interior_rural,12850,12850,12035,17645055,263,0.02,16679458,0.486,,509.1
08010,Artés,interior_rural,6051,6051,5723,8049960,36,0.006,6423390,0.444,,339.8
08011,Avià,interior_rural,2242,2242,1990,3284658,292,0.13,2322208,0.414,,82.3
08012,Avinyó,interior_rural,2311,2311,2350,3234391,74,0.032,0,0.0,,36.3
08013,Avinyonet del Penedès,interior_rural,1745,1745,1664,2787345,177,0.101,0,0.0,,60.2
08014,Aiguafreda,interior_rural,2582,2582,2355,3397321,54,0.021,5868973,0.633,,324.6
08015,Badalona,litoral_metropolita,226219,226219,208549,217710786,1756,0.008,169388527,0.438,,10808.3
08016,Bagà,interior_rural,2181,2181,2305,3402639,521,0.239,2251680,0.398,,50.2
08017,Balenyà,interior_rural,3999,3999,3613,4256261,24,0.006,5972481,0.584,,232.7
08018,Balsareny,interior_rural,3325,3325,3032,3903718,33,0.01,5175065,0.57,,90.7
08019,Barcelona,litoral_metropolita,1686208,1686208,1784335,1914308836,92602,0.055,1686124735,0.468,,16698.0
08020,Begues,corona_metropolitana,7439,7439,6418,11585742,147,0.02,6458768,0.358,,148.2
08021,Bellprat,interior_rural,,69,,101227,12,,0,0.0,,2.2
08022,Berga,interior_rural,17195,17195,17057,21019904,2143,0.125,27645428,0.568,,761.2
08023,Bigues i Riells,interior_rural,10035,10035,8969,16242364,102,0.01,326366,0.02,,350.6
08024,Borredà,interior_rural,,426,,757365,1628,,0,0.0,,9.8
08025,"Bruc, el",interior_rural,2293,2293,2038,3585543,283,0.123,0,0.0,,48.4
08026,"Brull, el",interior_rural,,293,,506527,48,,0,0.0,,7.1
08027,"Cabanyes, les",interior_rural,1011,1011,907,1506531,10,0.01,0,0.0,,866.6
08028,Cabrera d'Anoia,interior_rural,1712,1712,1491,2069636,32,0.019,562994,0.214,,100.5
08029,Cabrera de Mar,litoral_vacacional,5014,5014,5484,8781199,81,0.016,8934448,0.504,,565.2
08030,Cabrils,interior_rural,7764,7764,6930,13752399,629,0.081,19203626,0.583,,1115.1
08031,Calaf,interior_rural,3595,3595,3475,4267995,30,0.008,5834915,0.578,,385.8
08032,Caldes d'Estrac,litoral_vacacional,3241,3241,3447,5324441,576,0.178,5658790,0.515,,3691.8
08033,Caldes de Montbui,interior_rural,18334,18334,17266,23524079,958,0.052,16413697,0.411,,488.9
08034,Calders,interior_rural,1114,1114,1014,1814214,104,0.093,0,0.0,,33.7
08035,Calella,litoral_vacacional,20207,20207,26662,27038306,15080,0.746,18196703,0.402,,2527.9
08036,Calonge de Segarra,interior_rural,,174,,241708,62,,0,0.0,,4.7
08037,Calldetenes,interior_rural,2690,2690,2517,3472382,17,0.006,3795311,0.522,,469.5
08038,Callús,interior_rural,2151,2151,1898,3146441,13,0.006,2564327,0.449,,173.6
08039,Campins,interior_rural,,609,,1142403,105,,0,0.0,,80.7
08040,Canet de Mar,litoral_vacacional,15135,15135,14774,18877842,3170,0.209,16744778,0.47,,2734.5
08041,Canovelles,metropolita_dens,17264,17264,15548,16425034,60,0.003,15861151,0.491,,2544.7
08042,Cànoves i Samalús,interior_rural,3309,3309,2832,5191936,90,0.027,0,0.0,,113.7
08043,Canyelles,interior_rural,5360,5360,4846,9149756,680,0.127,0,0.0,,383.4
08044,Capellades,metropolita_dens,5558,5558,5285,6197404,31,0.006,8652232,0.583,,1926.6
08045,Capolat,interior_rural,,92,,160255,88,,0,0.0,,2.7
08046,Cardedeu,metropolita_dens,19091,19091,17206,24764085,129,0.007,24592596,0.498,,1568.0
08047,Cardona,interior_rural,4566,4566,4600,6630181,724,0.159,4401139,0.399,,68.4
08048,Carme,interior_rural,,819,,1057495,7,,0,0.0,,72.1
08049,Casserres,interior_rural,1675,1675,1571,2723800,310,0.185,0,0.0,,57.0
08050,Castellar del Riu,interior_rural,,163,,230011,1130,,0,0.0,,4.9
08051,Castellar del Vallès,interior_rural,25301,25301,22906,30356574,313,0.012,36247246,0.544,,561.0
08052,Castellar de n'Hug,interior_rural,,164,,266857,188,,0,0.0,,3.5
08053,Castellbell i el Vilar,interior_rural,4130,4130,3634,5486116,112,0.027,3314155,0.377,,145.3
08054,Castellbisbal,corona_metropolitana,12965,12965,13267,15424127,115,0.009,13898215,0.474,,421.1
08055,Castellcir,interior_rural,,778,,1334197,72,,0,0.0,,22.9
08056,Castelldefels,litoral_metropolita,69196,69196,65880,88193638,6993,0.101,73060366,0.453,,5392.4
08057,Castell de l'Areny,interior_rural,,69,,112121,58,,0,0.0,,2.8
08058,Castellet i la Gornal,interior_rural,2665,2665,2385,4280991,177,0.066,1266759,0.228,,57.4
08059,Castellfollit del Boix,interior_rural,,460,,999088,84,,0,0.0,,7.8
08060,Castellfollit de Riubregós,interior_rural,,151,,532180,15,,0,0.0,,5.7
08061,Castellgalí,interior_rural,2339,2339,2191,3650114,3,0.001,1645926,0.311,,136.6
