ine5,municipi,tipus_territorial,densitat_hab_km2,etca,kwh_dom,base_implied,base_pred,err_regressio_pct,err_loo_pct
08020,Begues,corona_metropolitana,148.2,6418.0,11585742,1805.0,1810.0,-0.3,-0.3
08054,Castellbisbal,corona_metropolitana,421.1,13267.0,15424127,1163.0,1418.0,-18.0,-18.1
08068,Cervelló,corona_metropolitana,401.2,8601.0,14131371,1643.0,1529.0,7.4,7.5
08072,Corbera de Llobregat,corona_metropolitana,869.8,13781.0,23857796,1731.0,1510.0,14.6,14.7
08157,Pallejà,corona_metropolitana,1386.4,10612.0,15516521,1462.0,1423.0,2.7,2.7
08204,Sant Climent de Llobregat,corona_metropolitana,388.5,3419.0,5244288,1534.0,1567.0,-2.1,-2.1
08244,Santa Coloma de Cervelló,corona_metropolitana,1133.4,7069.0,9266244,1311.0,1421.0,-7.7,-7.8
08282,Tiana,corona_metropolitana,1182.6,7834.0,12952153,1653.0,1691.0,-2.2,-2.3
08289,Torrelles de Llobregat,corona_metropolitana,454.9,5139.0,8308551,1617.0,1585.0,2.0,2.0
08001,Abrera,interior_rural,653.0,12852.0,16644956,1295.0,1408.0,-8.0,-8.1
08002,Aguilar de Segarra,interior_rural,6.8,,495359,,1980.0,,
08004,Alpens,interior_rural,19.5,,499865,,1959.0,,
08005,"Ametlla del Vallès, l'",interior_rural,671.8,8675.0,16796751,1936.0,1698.0,14.0,14.2
08007,Arenys de Munt,interior_rural,436.4,8297.0,13322235,1606.0,1421.0,13.0,13.0
08008,Argençola,interior_rural,5.1,,387872,,1831.0,,
08010,Artés,interior_rural,339.8,5723.0,8049960,1407.0,1399.0,0.6,0.6
08011,Avià,interior_rural,82.3,1990.0,3284658,1651.0,1545.0,6.8,6.9
08012,Avinyó,interior_rural,36.3,2350.0,3234391,1376.0,1735.0,-20.7,-20.8
08013,Avinyonet del Penedès,interior_rural,60.2,1664.0,2787345,1675.0,1734.0,-3.4,-3.4
08014,Aiguafreda,interior_rural,324.6,2355.0,3397321,1443.0,1405.0,2.7,2.7
08016,Bagà,interior_rural,50.2,2305.0,3402639,1476.0,1609.0,-8.2,-8.3
08017,Balenyà,interior_rural,232.7,3613.0,4256261,1178.0,1265.0,-6.9,-6.9
08018,Balsareny,interior_rural,90.7,3032.0,3903718,1288.0,1398.0,-7.9,-8.0
08022,Berga,interior_rural,761.2,17057.0,21019904,1232.0,1261.0,-2.2,-2.2
08023,Bigues i Riells,interior_rural,350.6,8969.0,16242364,1811.0,1668.0,8.6,8.7
08024,Borredà,interior_rural,9.8,,757365,,1810.0,,
08025,"Bruc, el",interior_rural,48.4,2038.0,3585543,1759.0,1793.0,-1.9,-1.9
08026,"Brull, el",interior_rural,7.1,,506527,,2040.0,,
08027,"Cabanyes, les",interior_rural,866.6,907.0,1506531,1661.0,1655.0,0.4,0.4
08028,Cabrera d'Anoia,interior_rural,100.5,1491.0,2069636,1388.0,1466.0,-5.3,-5.3
08030,Cabrils,interior_rural,1115.1,6930.0,13752399,1984.0,1720.0,15.4,16.0
08031,Calaf,interior_rural,385.8,3475.0,4267995,1228.0,1219.0,0.7,0.7
08033,Caldes de Montbui,interior_rural,488.9,17266.0,23524079,1362.0,1453.0,-6.2,-6.3
08034,Calders,interior_rural,33.7,1014.0,1814214,1789.0,1847.0,-3.1,-3.1
08036,Calonge de Segarra,interior_rural,4.7,,241708,,1888.0,,
