ine5,municipi,renda_neta_persona_2023
08001,Abrera,16682
08002,Aguilar de Segarra,18693
08003,Alella,25382
08004,Alpens,19367
08005,"Ametlla del Vallès, L'",21257
08006,Arenys de Mar,16679
08007,Arenys de Munt,16776
08008,Argençola,15738
08009,Argentona,18013
08010,Artés,16039
08011,Avià,16985
08012,Avinyó,15973
08013,Avinyonet del Penedès,16456
08014,Aiguafreda,17748
08015,Badalona,14618
08016,Bagà,17500
08017,Balenyà,14492
08018,Balsareny,15813
08019,Barcelona,19527
08020,Begues,21840
08021,Bellprat,
08022,Berga,15449
08023,Bigues i Riells del Fai,17201
08024,Borredà,16003
08025,"Bruc, El",17297
08026,"Brull, El",19814
08027,"Cabanyes, Les",17701
08028,Cabrera d'Anoia,14026
08029,Cabrera de Mar,22766
08030,Cabrils,24186
08031,Calaf,14120
08032,Caldes d'Estrac,19248
08033,Caldes de Montbui,17089
08034,Calders,17895
08035,Calella,14031
08036,Calonge de Segarra,16681
08037,Calldetenes,16857
08038,Callús,15421
08039,Campins,18913
08040,Canet de Mar,15714
08041,Canovelles,12923
08042,Cànoves i Samalús,17066
08043,Canyelles,15803
08044,Capellades,15419
08045,Capolat,18111
08046,Cardedeu,17792
08047,Cardona,15730
08048,Carme,15734
08049,Casserres,15362
08050,Castellar del Riu,16771
08051,Castellar del Vallès,17260
08052,Castellar de n'Hug,17812
08053,Castellbell i el Vilar,14852
08054,Castellbisbal,16867
08055,Castellcir,17806
08056,Castelldefels,18693
08057,Castell de l'Areny,18111
08058,Castellet i la Gornal,15065
08059,Castellfollit del Boix,17679
08060,Castellfollit de Riubregós,16443
08061,Castellgalí,16354
08062,Castellnou de Bages,17878
08063,Castellolí,18943
08064,Castellterçol,15988
08065,Castellví de la Marca,15587
08066,Castellví de Rosanes,19072
08067,Centelles,16294
08068,Cervelló,18664
08069,Collbató,20312
08070,Collsuspina,15170
08071,Copons,16438
08072,Corbera de Llobregat,18030
08073,Cornellà de Llobregat,14920
08074,Cubelles,16276
08075,Dosrius,16572
08076,Esparreguera,16203
08077,Esplugues de Llobregat,17633
08078,"Espunyola, L'",16133
08079,"Estany, L'",18008
08080,Fígols,18111
08081,Fogars de Montclús,16264
08082,Fogars de la Selva,14938
08083,Folgueroles,18642
08084,Fonollosa,17272
08085,Font-rubí,16299
08086,"Franqueses del Vallès, Les",15350
08087,Gallifa,23300
08088,"Garriga, La",18467
08089,Gavà,17120
08090,Gaià,17202
08091,Gelida,16339
08092,Gironella,15091
08093,Gisclareny,18111
08094,"Granada, La",16574
08095,Granera,
08096,Granollers,16199
08097,Gualba,17699
08098,Sant Salvador de Guardiola,16407
08099,Guardiola de Berguedà,15580
08100,Gurb,22153
08101,"Hospitalet de Llobregat, L'",13302
08102,Igualada,15698
08103,Jorba,17264
08104,"Llacuna, La",16339
08105,"Llagosta, La",13766
08106,Llinars del Vallès,17101
08107,Lliçà d'Amunt,16930
08108,Lliçà de Vall,15754
08109,Lluçà,15899
08110,Malgrat de Mar,14651
08111,Malla,22561
08112,Manlleu,13699
08113,Manresa,15099
08114,Martorell,14833
08115,Martorelles,16919
08116,"Masies de Roda, Les",16932
08117,"Masies de Voltregà, Les",16761
08118,"Masnou, El",19295
08119,Masquefa,15641
08120,Matadepera,26720
08121,Mataró,14433
08122,Mediona,14609
08123,Molins de Rei,18316
08124,Mollet del Vallès,15241
08125,Montcada i Reixac,14700
08126,Montgat,18237
08127,Monistrol de Montserrat,14812
08128,Monistrol de Calders,15222
08129,Muntanyola,19469
08130,Montclar,14378
08131,Montesquiu,14589
08132,Montmajor,14987
08133,Montmaneu,15709
08134,Figaró-Montmany,16189
08135,Montmeló,15871
08136,Montornès del Vallès,14991
08137,Montseny,19989
08138,Moià,15848
08139,Mura,18922
08140,Navarcles,16609
08141,Navàs,15743
08142,"Nou de Berguedà, La",16986
08143,Òdena,15281
08144,Olvan,15462
08145,Olèrdola,16989
08146,Olesa de Bonesvalls,16806
08147,Olesa de Montserrat,15654
08148,Olivella,15946
08149,Olost,17924
08150,Orís,18508
08151,Oristà,16539
08152,Orpí,16731
08153,Òrrius,17793
08154,Pacs del Penedès,22068
08155,Palafolls,14526
08156,Palau-solità i Plegamans,17507
08157,Pallejà,18231
08158,"Papiol, El",17370
08159,Parets del Vallès,16889
08160,Perafita,16927
08161,Piera,14479
08162,"Hostalets de Pierola, Els",15867
