ine5,nom,tipus,padro,estimacio,rang_baix,rang_alt,registre,marge_rel_pct
08002,Aguilar de Segarra,interior_rural,291,250,199,342,soroll,0.0
08004,Alpens,interior_rural,270,255,202,348,soroll,0.0
08008,Argençola,interior_rural,241,212,168,289,soroll,0.0
08024,Borredà,interior_rural,426,418,332,571,soroll,0.0
08026,"Brull, el",interior_rural,293,248,197,339,soroll,0.0
08036,Calonge de Segarra,interior_rural,174,128,102,175,soroll,0.0
08039,Campins,interior_rural,609,616,489,841,soroll,0.0
08045,Capolat,interior_rural,92,80,64,109,soroll,0.0
08048,Carme,interior_rural,819,628,498,857,soroll,0.0
08050,Castellar del Riu,interior_rural,163,122,97,166,soroll,0.0
08052,Castellar de n'Hug,interior_rural,164,136,108,185,soroll,0.0
08055,Castellcir,interior_rural,778,716,568,978,soroll,0.0
08057,Castell de l'Areny,interior_rural,69,56,45,77,soroll,0.0
08059,Castellfollit del Boix,interior_rural,460,521,414,712,soroll,0.0
08060,Castellfollit de Riubregós,interior_rural,151,286,227,390,senyal_mes,50.3
08063,Castellolí,interior_rural,659,594,471,810,soroll,0.0
08070,Collsuspina,interior_rural,390,385,306,526,soroll,0.0
08071,Copons,interior_rural,352,282,224,386,soroll,0.0
08078,"Espunyola, l'",interior_rural,263,261,207,356,soroll,0.0
08079,"Estany, l'",interior_rural,401,431,342,588,soroll,0.0
08080,Fígols,interior_rural,42,20,16,28,senyal_menys,33.3
08081,Fogars de Montclús,interior_rural,503,551,437,752,soroll,0.0
08087,Gallifa,interior_rural,174,174,138,237,soroll,0.0
08090,Gaià,interior_rural,178,187,149,256,soroll,0.0
08093,Gisclareny,interior_rural,30,32,26,44,soroll,0.0
08103,Jorba,interior_rural,827,768,610,1049,soroll,0.0
08104,"Llacuna, la",interior_rural,984,1113,883,1519,soroll,0.0
08109,Lluçà,interior_rural,289,190,151,260,senyal_menys,10.0
08111,Malla,interior_rural,274,382,304,522,senyal_mes,10.9
08116,"Masies de Roda, les",interior_rural,749,625,496,853,soroll,0.0
08128,Monistrol de Calders,interior_rural,762,690,548,942,soroll,0.0
08129,Muntanyola,interior_rural,712,604,479,824,soroll,0.0
08130,Montclar,interior_rural,132,143,114,196,soroll,0.0
08132,Montmajor,interior_rural,474,527,418,720,soroll,0.0
08133,Montmaneu,interior_rural,200,128,102,175,senyal_menys,12.5
08137,Montseny,interior_rural,379,334,265,456,soroll,0.0
08139,Mura,interior_rural,232,245,195,335,soroll,0.0
08142,"Nou de Berguedà, la",interior_rural,163,168,133,229,soroll,0.0
08144,Olvan,interior_rural,910,792,629,1082,soroll,0.0
08150,Orís,interior_rural,349,353,280,482,soroll,0.0
08151,Oristà,interior_rural,571,528,419,721,soroll,0.0
08152,Orpí,interior_rural,179,128,101,174,senyal_menys,2.8
08153,Òrrius,interior_rural,806,811,644,1108,soroll,0.0
08154,Pacs del Penedès,interior_rural,943,746,592,1018,soroll,0.0
08160,Perafita,interior_rural,438,503,399,687,soroll,0.0
08168,Pontons,interior_rural,518,500,397,683,soroll,0.0
08170,"Prats de Rei, els",interior_rural,554,518,411,707,soroll,0.0
08174,Puigdàlber,interior_rural,629,685,543,935,soroll,0.0
08176,Pujalt,interior_rural,212,253,201,346,soroll,0.0
08177,"Quar, la",interior_rural,44,76,60,104,senyal_mes,36.4
08178,Rajadell,interior_rural,594,597,474,815,soroll,0.0
08179,Rellinars,interior_rural,920,945,750,1291,soroll,0.0
08185,Rubió,interior_rural,240,184,146,252,soroll,0.0
08188,Sagàs,interior_rural,154,247,196,337,senyal_mes,27.3
08189,Sant Pere Sallavinera,interior_rural,158,171,136,234,soroll,0.0
08190,Saldes,interior_rural,300,336,267,459,soroll,0.0
08195,Sant Agustí de Lluçanès,interior_rural,108,99,79,136,soroll,0.0
08199,Sant Bartomeu del Grau,interior_rural,939,790,627,1079,soroll,0.0
08201,Sant Boi de Lluçanès,interior_rural,574,437,347,597,soroll,0.0
08212,Sant Feliu Sasserra,interior_rural,629,592,470,808,soroll,0.0
08216,Sant Jaume de Frontanyà,interior_rural,26,28,22,38,soroll,0.0
08225,Sant Martí d'Albars,interior_rural,140,79,62,107,senyal_menys,23.6
08228,Sant Martí Sesgueioles,interior_rural,360,370,294,505,soroll,0.0
08229,Sant Mateu de Bages,interior_rural,637,644,511,880,soroll,0.0
08239,Sant Quirze Safaja,interior_rural,671,752,597,1027,soroll,0.0
08242,Marganell,interior_rural,310,264,209,360,soroll,0.0
08243,Santa Cecília de Voltregà,interior_rural,192,187,148,255,soroll,0.0
08249,Santa Fe del Penedès,interior_rural,360,320,254,437,soroll,0.0
08253,Santa Maria de Besora,interior_rural,164,156,124,213,soroll,0.0
08255,Santa Maria de Merlès,interior_rural,175,238,189,325,senyal_mes,8.0
08256,Santa Maria de Martorelles,interior_rural,872,707,561,965,soroll,0.0
08257,Santa Maria de Miralles,interior_rural,137,93,74,127,senyal_menys,7.3
08272,Sora,interior_rural,219,240,191,328,soroll,0.0
08275,Tavèrnoles,interior_rural,341,357,283,487,soroll,0.0
08276,Tagamanent,interior_rural,339,292,232,399,soroll,0.0
08277,Talamanca,interior_rural,212,233,185,318,soroll,0.0
08280,Tavertet,interior_rural,131,175,139,240,senyal_mes,6.1
08293,Vallcebre,interior_rural,272,199,158,272,soroll,0.0
08297,Veciana,interior_rural,175,225,179,308,senyal_mes,2.3
08299,Vilada,interior_rural,443,385,305,525,soroll,0.0
08303,Vilanova de Sau,interior_rural,317,270,215,369,soroll,0.0
08306,Vilalba Sasserra,interior_rural,780,706,561,965,soroll,0.0
08308,Viver i Serrateix,interior_rural,173,181,143,247,soroll,0.0
08901,Rupit i Pruit,interior_rural,281,339,269,463,soroll,0.0
08903,Sant Julià de Cerdanyola,interior_rural,231,258,205,352,soroll,0.0
17001,Agullana,interior_rural,910,728,578,994,soroll,0.0
17003,Albanyà,interior_rural,167,94,75,129,senyal_menys,22.8
17004,Albons,interior_rural,828,1048,831,1431,senyal_mes,0.4
17010,Argelaguer,interior_rural,451,376,298,513,soroll,0.0
17018,Bellcaire d'Empordà,interior_rural,737,899,713,1228,soroll,0.0
17021,Beuda,interior_rural,205,181,143,247,soroll,0.0
17024,Bolvir,interior_rural,497,1984,1575,2709,senyal_mes,216.9
