ine5,codi6,municipi,comarca,vegueria,poblacio,hab_total,hab_principal,hab_noprincipal,pct_noprincipal,hab_per_hab,index_envelliment,densitat_hab_km2,renda_neta_persona,poblacio_nascuda_catalunya,poblacio_nascuda_resta_espanya,poblacio_nascuda_estranger,pct_nascuda_estranger,pct_nacionalitat_estrangera,bretxa_naturalitzacio,delta_pct_estrangera_finestra,confianca_origen,rtc_total,rtc_hut,rtc_per_1000hab,rtc_per_100hab_viv,kg_hab_any,kwh_hab,vidre_hab,residu_base_ratio,kwh_base_ratio,vidre_base_ratio,restauracio_estab,restauracio_per_1000hab,serveis_estab,serveis_per_1000hab,poblacio_pernocta_est,gap_pernocta,gap_pernocta_pct,carrega_total_est,carrega_funcional_est,index_turisme,confianca,poblacio_real_est,gap_abs,gap_pct,poblacio_real_rel,pct_icaen_EFG,IETR,IETR_rank,IETR_stock,IETR_impact,tipologia,confianca_score,divergencia_senyals,pct_indep,pct_esquerra,pct_extrema_dreta,guanya
08001,080018,Abrera,Baix Llobregat,Metropolità,13207,5266,4643,623,11.83,0.399,119.2,662.3,16682,9034,2398,1775,13.44,8.23,5.21,1.63,alta,7,6,0.53,0.13,458.6,1260.3,11.8,1.12,0.9,0.45,49,3.71,35,2.65,11822,-1385,-10.5,14773,14773,22.2,mitjana,14773,1566,11.9,13400,,0.59,918,0.94,0.23,capital_serveis,74.6,44,,,,
08002,080023,Aguilar de Segarra,Bages,Comarques Centrals,293,151,99,52,34.44,0.515,128.3,6.8,18693,272,8,13,4.44,3.07,1.37,0.96,mitjana,5,1,17.06,3.31,436.32,1690.6,33.5,1.06,0.85,1.26,1,3.41,1,3.41,250,-43,-14.7,312,312,48.3,mitjana,312,19,6.5,283,,21.89,508,26.24,17.53,indeterminat,77.9,12,,,,
08003,080039,Alella,Maresme,Metropolità,10251,3958,3419,539,13.62,0.386,156.4,1070,25382,7431,1017,1803,17.59,13.57,4.02,2.39,alta,149,144,14.54,3.76,573.15,1792.1,30.8,1.4,0.99,1.16,13,1.27,26,2.54,10144,-107,-1,14330,14330,45,alta,14330,4079,39.8,12999,,10.12,696,1.98,18.25,capital_serveis,68.8,60,,,,
08004,080044,Alpens,Lluçanès,Comarques Centrals,267,241,117,124,51.45,0.903,226.9,19.3,19367,231,8,28,10.49,8.99,1.5,1.93,mitjana,15,11,56.18,6.22,366.83,1872.2,29.3,0.89,0.96,1.11,1,3.75,5,18.73,255,-12,-4.5,239,267,43.2,baixa,239,-28,-10.5,217,,50.79,203,59.69,41.89,indeterminat,61.5,53,,,,
08005,080057,"Ametlla del Vallès, l'",Vallès Oriental,Metropolità,9473,3608,2975,633,17.54,0.381,113.8,665.2,21257,7401,940,1132,11.95,6.66,5.29,0.9,alta,28,18,2.96,0.78,542.66,1773.1,25.9,1.32,1.04,0.98,6,0.63,18,1.9,9892,419,4.4,12538,12538,39.1,alta,12538,3065,32.4,11373,,4.42,820,5.4,3.43,capital_serveis,73.5,47,,,,
08006,080060,Arenys de Mar,Maresme,Metropolità,16982,8413,6292,2121,25.21,0.495,186.8,2515.9,16679,11571,2010,3401,20.03,13.44,6.59,2,alta,243,228,14.31,2.89,494.34,1235,33.5,1.21,0.95,1.26,26,1.53,26,1.53,16158,-824,-4.9,20475,20475,48.3,mitjana,20475,3493,20.6,18573,,16.14,584,17.23,15.05,indeterminat,87.5,7,,,,
08007,080076,Arenys de Munt,Maresme,Metropolità,9527,4439,3497,942,21.22,0.466,144.4,447.5,16776,7583,839,1105,11.6,7.97,3.63,0.86,alta,84,82,8.82,1.89,460.9,1398.4,28.7,1.12,0.98,1.08,20,2.1,16,1.68,9375,-152,-1.6,10710,10710,42.5,mitjana,10710,1183,12.4,9715,,10.93,677,12.35,9.5,capital_serveis,81.2,25,,,,
08008,080082,Argençola,Anoia,Penedès,245,169,93,76,44.97,0.69,93.2,5.2,15738,218,11,16,6.53,6.94,-0.41,0.66,mitjana,5,3,20.41,2.96,331.09,1583.2,38.6,0.81,0.86,1.46,0,0,1,4.08,212,-33,-13.5,198,245,54.4,baixa,198,-47,-19.2,179,,30.65,384,43.82,17.47,indeterminat,61.9,46,,,,
08009,080095,Argentona,Maresme,Metropolità,12891,5223,4514,709,13.57,0.405,144.7,507.5,18013,10124,1548,1219,9.46,6.46,3,1.1,alta,75,63,5.82,1.44,434.01,1368.8,30.2,1.06,0.93,1.14,14,1.09,15,1.16,12036,-855,-6.6,13646,13646,44.3,mitjana,13646,755,5.9,12378,,4.78,812,2.75,6.82,capital_serveis,77.4,36,,,,
08010,080109,Artés,Bages,Comarques Centrals,6211,2655,2207,448,16.87,0.427,133.2,347.6,16039,4646,623,942,15.17,13.62,1.55,3.39,alta,6,4,0.97,0.23,444.28,1296.1,25.1,1.08,0.93,0.95,16,2.58,18,2.9,5754,-457,-7.4,6730,6730,38.2,mitjana,6730,519,8.4,6105,,3.72,834,6.68,0.75,capital_serveis,79.1,31,,,,
08011,080116,Avià,Berguedà,Comarques Centrals,2263,1107,824,283,25.56,0.489,168.4,83.1,16985,2017,85,161,7.11,6.01,1.1,1.41,alta,30,20,13.26,2.71,376.16,1451.5,27.8,0.92,0.94,1.05,6,2.65,13,5.74,2126,-137,-6.1,2076,2263,41.4,mitjana,2076,-187,-8.3,1883,,15.63,596,17.24,14.03,indeterminat,85.5,13,83.85,38.35,13.12,CAT-JUNTS+
08012,080121,Avinyó,Bages,Comarques Centrals,2325,1113,869,244,21.92,0.479,182.3,36.8,15973,1831,161,333,14.32,10.62,3.7,0.43,alta,8,5,3.44,0.72,493.58,1391.1,34.8,1.2,0.8,1.31,6,2.58,17,7.31,1864,-461,-19.8,2799,2799,49.8,baixa,2799,474,20.4,2539,,8.49,737,13.59,3.39,capital_serveis,79.6,30,,,,
08013,080137,Avinyonet del Penedès,Alt Penedès,Penedès,1787,898,655,243,27.06,0.503,195.2,61.3,16456,1373,173,241,13.49,10.35,3.14,0.55,alta,27,19,15.11,3.01,402.1,1559.8,46,0.98,0.9,1.74,7,3.92,4,2.24,1607,-180,-10.1,1753,1787,63.3,mitjana,1753,-34,-1.9,1590,,17.49,567,19.22,15.76,indeterminat,84.8,15,,,,
08014,080142,Aiguafreda,Osona,Comarques Centrals,2569,1298,1013,285,21.96,0.505,195.6,325.2,17748,2011,272,286,11.13,7.32,3.81,1.8,alta,11,10,4.28,0.85,475.25,1322.4,32.2,1.16,0.94,1.22,11,4.28,17,6.62,2418,-151,-5.9,2978,2978,46.7,baixa,2978,409,15.9,2701,,9.51,712,14.87,4.15,capital_serveis,80.8,26,,,,
